Date,TMAX,TMIN,TAVG
2015-01-12,10278,-61,978.375
2015-01-13,10254,-50,977.7849999999999
2015-01-14,10237,-56,1014.4210526315787
2015-01-15,10237,-78,1068.85
2015-01-16,10125,-117,1065.6055555555554
2015-01-17,10173,-122,1070.2944444444447
2015-01-18,10149,-100,1057.15
2015-01-19,10152,-39,1053.6888888888889
2015-01-20,10213,-50,860.9286363636362
2015-01-21,10261,-61,902.2914285714285
2015-12-15,10034,-94,868.6913636363636
2015-12-16,10129,-144,1046.8833333333332
2015-12-17,10203,-161,1009.9215789473685
2015-12-18,10190,-94,1057.1611111111113
2015-12-19,10129,-61,1061.0055555555555
2015-12-20,10058,-50,1057.1555555555556
2015-12-21,10068,-78,1005.3947368421053
2015-12-22,9932,-50,989.2952631578947
2015-12-23,9973,-72,1000.9842105263158
2015-12-24,10105,-156,1050.0555555555557
2015-12-25,10098,-100,913.4771428571427
2015-12-26,10295,-144,1025.0
2015-12-27,10305,-156,1052.5333333333335
2015-12-28,10142,-144,924.8549999999999
2015-12-29,10169,-144,934.7450000000001
2015-12-30,10230,-144,945.385
2015-12-31,10318,-144,954.1299999999999
2016-01-01,10325,-172,1008.405263157895
2016-01-02,10281,-156,1007.5263157894736
2016-01-03,10264,-117,1003.4263157894736
2016-01-04,10183,-94,1004.4210526315787
2016-01-05,10105,-89,999.1473684210526
2016-01-06,10081,-67,994.7842105263156
2016-01-07,10061,-28,909.9833333333332
2016-01-08,10135,-72,851.7754545454544
2016-01-09,10196,-100,949.6699999999998
2016-01-10,210,0.0,43.38235294117647
2016-01-11,10193,-133,1056.4722222222222
2016-01-12,10200,-128,1059.427777777778
2016-01-13,10125,-78,1057.177777777778
2016-01-14,10044,-106,1055.4166666666667
2016-01-15,10091,-94,987.2110526315788
2016-01-16,10152,-106,1061.2722222222224
2016-01-17,10179,-89,910.295238095238
2016-01-18,10139,-67,1058.2666666666667
2016-01-19,10176,-39,993.6373684210524
2016-01-20,10119,-72,1073.3055555555557
2016-01-21,10251,-83,1083.761111111111
2016-12-15,10098,-89,1053.6833333333334
2016-12-16,9986,-94,882.4738095238096
2016-12-17,10210,-233,920.034
2016-12-18,10308,-200,1053.3722222222223
2016-12-19,10261,-128,1068.138888888889
2016-12-20,10190,-56,1077.1888888888889
2016-12-21,10217,-67,1076.261111111111
2016-12-22,10203,-56,1079.8111111111111
2016-12-23,10102,-39,1058.2111111111112
2016-12-24,10061,-44,1051.288888888889
2016-12-25,9942,-56,937.21
2016-12-26,10176,-122,1063.5555555555554
2016-12-27,10169,-94,1068.8666666666668
2016-12-28,10179,-72,1077.5777777777778
2016-12-29,10291,-83,1070.4333333333334
2016-12-30,10085,-139,1059.7722222222224
2016-12-31,10085,-78,1037.2222222222224
2017-01-01,10027,-89,1040.1944444444443
2017-01-02,10088,-83,981.7736842105262
2017-01-03,10220,-128,942.9649999999999
2017-01-04,10176,-156,959.7149999999999
2017-01-05,10224,-189,948.787
2017-01-06,10254,-194,944.4099999999999
2017-01-07,10295,-167,1056.1722222222222
2017-01-08,10196,-50,1071.372222222222
2017-01-09,10024,-11,1067.0166666666667
2017-01-10,10034,-83,1060.0222222222224
2017-01-11,10000,-56,1054.138888888889
2017-01-12,10179,-72,1050.388888888889
2017-01-13,10274,-67,965.2999999999998
2017-01-14,10274,-44,964.9949999999999
2017-01-15,10183,-44,966.8499999999998
2017-01-16,10186,-33,1028.2631578947369
2017-01-17,10183,-61,1060.4277777777777
2017-01-18,10105,-89,1054.7055555555555
2017-01-19,10000,-72,1039.4166666666667
2017-01-20,9956,-33,987.1473684210524
2017-01-21,9976,-56,1034.9777777777776
2017-12-15,10135,-139,1053.2666666666667
2017-12-16,10078,-89,1041.75
2017-12-17,10149,-50,1009.4631578947368
2017-12-18,10142,-89,1057.7722222222224
2017-12-19,10149,-78,1050.8666666666666
2017-12-20,10034,-122,1048.5944444444444
2017-12-21,10163,-111,934.2734999999999
2017-12-22,10190,-111,1057.9333333333334
2017-12-23,10176,-106,923.2428571428569
2017-12-24,10261,-167,992.0052631578947
2017-12-25,10213,-150,984.7263157894737
2017-12-26,10291,-161,905.1195238095236
2017-12-27,10227,-117,966.325
2017-12-28,10200,-78,1077.4777777777779
2017-12-29,10149,-100,963.6200000000001
2017-12-30,10203,-122,890.1619047619047
2017-12-31,10301,-139,1046.3894736842105
2018-01-01,10295,-133,939.325
2018-01-02,10295,-150,955.8599999999999
2018-01-03,10240,-144,1052.4833333333333
2018-01-04,10224,-111,1057.1888888888889
2018-01-05,10203,-111,1064.4444444444443
2018-01-06,10146,-61,1057.7777777777776
2018-01-07,10159,-39,992.8163157894736
2018-01-08,10156,-39,1071.3055555555557
2018-01-09,10054,-44,1052.9055555555556
2018-01-10,9983,-44,979.8194736842105
2018-01-11,10176,-94,1070.0166666666669
2018-01-12,10200,-56,993.6594736842103
2018-01-13,10257,-61,1089.583333333333
2018-01-14,10244,-61,1058.1444444444444
2018-01-15,10342,-139,904.187142857143
2018-01-16,10349,-178,1061.572222222222
2018-01-17,10264,-122,1058.7722222222221
2018-01-18,10152,-122,1057.0
2018-01-19,10044,-89,1051.1833333333334
2018-01-20,10061,-61,932.6449999999999
2018-01-21,10129,-67,844.695652173913
2018-12-15,10176,-100,1070.0777777777778
2018-12-16,10237,-100,1067.85
2018-12-17,10166,-117,1060.6499999999999
2018-12-18,10112,-89,1056.9777777777776
2018-12-19,10132,-72,1074.7722222222221
2018-12-20,10213,-111,1057.2666666666667
2018-12-21,10054,-122,1057.4555555555555
2018-12-22,10173,-83,1050.4777777777776
2018-12-23,10207,-156,1056.7388888888888
2018-12-24,10146,-100,1052.65
2018-12-25,10142,-78,1069.5944444444442
2018-12-26,10102,-67,983.663157894737
2018-12-27,10129,-133,1067.2222222222222
2018-12-28,10234,-139,1041.6333333333332
2018-12-29,10193,-156,1050.8666666666666
2018-12-30,10037,-111,1044.7833333333333
2018-12-31,10179,-139,981.3542105263156
2019-01-01,10268,-183,1050.622222222222
2019-01-02,10213,-139,1055.2722222222224
2019-01-03,10156,-106,1057.361111111111
2019-01-04,10135,-78,1061.0777777777778
2019-01-05,10122,-78,1060.8111111111111
2019-01-06,10027,-61,1060.3555555555556
2019-01-07,10098,-106,1065.4388888888889
2019-01-08,10264,-106,1061.8388888888887
2019-01-09,10244,-94,1068.4444444444443
2019-01-10,10156,-78,1062.3388888888887
2019-01-11,10179,-11,1015.5078947368423
2019-01-12,10237,-28,1035.006842105263
2019-01-13,10261,-72,1067.3166666666666
2019-01-14,10244,-106,1066.861111111111
2019-01-15,10196,-100,1062.9944444444445
2019-01-16,10139,-61,1062.5388888888888
2019-01-17,10108,-50,1058.7722222222224
2019-01-18,10119,-39,974.2890000000001
2019-01-19,10213,-67,1067.8111111111111
2019-01-20,10129,-33,1047.7833333333335
2019-01-21,9990,-50,927.5650000000002
2019-12-15,10135,-78,963.4249999999998
2019-12-16,10230,-111,996.6947368421053
2019-12-17,10271,-150,1062.0777777777778
2019-12-18,10193,-122,1060.6111111111113
2019-12-19,10142,-117,1040.1055555555554
2019-12-20,10230,-122,1064.322222222222
2019-12-21,10210,-133,1062.6222222222223
2019-12-22,10156,-144,1058.4722222222222
2019-12-23,10112,-106,1057.75
2019-12-24,10064,-111,1052.7722222222221
2019-12-25,10044,-67,1070.1777777777777
2019-12-26,10173,-50,912.2142857142857
2019-12-27,10129,-44,951.4949999999999
2019-12-28,10098,-67,967.4190000000001
2019-12-29,10152,-139,1065.0222222222224
2019-12-30,10224,-156,1055.0833333333335
2019-12-31,10156,-133,1052.0166666666667
2020-01-01,9993,-67,1057.9111111111113
2020-01-02,10061,-78,1050.861111111111
2020-01-03,10173,-94,1070.3000000000002
2020-01-04,10176,-72,1080.6166666666668
2020-01-05,10217,-89,1077.572222222222
2020-01-06,10224,-139,1072.5611111111111
2020-01-07,10183,-106,1070.0166666666669
2020-01-08,10034,-111,1057.388888888889
2020-01-09,10071,-94,1061.0888888888887
2020-01-10,10179,-94,1040.6333333333332
2020-01-11,10132,-111,1065.4777777777776
2020-01-12,10108,-139,1056.538888888889
2020-01-13,10119,-128,1061.511111111111
2020-01-14,10098,-128,1052.927777777778
2020-01-15,10220,-117,1052.7166666666667
2020-01-16,10220,-117,1058.9333333333334
2020-01-17,10095,-100,1065.6222222222223
2020-01-18,10261,-128,1059.3222222222223
2020-01-19,10318,-117,1066.35
2020-01-20,10271,-128,1055.1777777777777
2020-01-21,10125,-83,1054.661111111111
2020-12-15,10183,-106,1019.1594736842104
2020-12-16,10183,-111,1059.361111111111
2020-12-17,10115,-89,1055.3666666666666
2020-12-18,10166,-67,987.8894736842107
2020-12-19,10193,-100,1071.4555555555555
2020-12-20,10159,-67,1070.3277777777778
2020-12-21,10152,-22,1076.9111111111113
2020-12-22,10024,-56,1065.3333333333333
2020-12-23,10196,-167,1033.2055555555553
2020-12-24,10230,-128,1064.6999999999998
2020-12-25,10169,-106,1060.861111111111
2020-12-26,10078,-106,1061.9777777777776
2020-12-27,10139,-94,1068.3388888888887
2020-12-28,10190,-44,1022.2136842105264
2020-12-29,10142,-78,920.0999999999999
2020-12-30,10193,-122,1056.9611111111112
2020-12-31,10159,-89,1066.9333333333334
2021-01-01,10203,-72,1060.4777777777776
2021-01-02,10135,-89,1064.072222222222
2021-01-03,10108,-94,1062.6555555555556
