locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
300,Glen Burnie,o3,0.022,"{'utc': '2023-08-30T00:00:00+00:00', 'local': '2023-08-29T20:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.027,"{'utc': '2023-08-29T23:00:00+00:00', 'local': '2023-08-29T19:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.026,"{'utc': '2023-08-29T22:00:00+00:00', 'local': '2023-08-29T18:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.029,"{'utc': '2023-08-29T21:00:00+00:00', 'local': '2023-08-29T17:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.03,"{'utc': '2023-08-29T20:00:00+00:00', 'local': '2023-08-29T16:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.031,"{'utc': '2023-08-29T19:00:00+00:00', 'local': '2023-08-29T15:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.033,"{'utc': '2023-08-29T18:00:00+00:00', 'local': '2023-08-29T14:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.032,"{'utc': '2023-08-29T17:00:00+00:00', 'local': '2023-08-29T13:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.028,"{'utc': '2023-08-29T16:00:00+00:00', 'local': '2023-08-29T12:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.025,"{'utc': '2023-08-29T15:00:00+00:00', 'local': '2023-08-29T11:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.023,"{'utc': '2023-08-29T14:00:00+00:00', 'local': '2023-08-29T10:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.02,"{'utc': '2023-08-29T13:00:00+00:00', 'local': '2023-08-29T09:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.021,"{'utc': '2023-08-29T12:00:00+00:00', 'local': '2023-08-29T08:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.018,"{'utc': '2023-08-29T11:00:00+00:00', 'local': '2023-08-29T07:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.02,"{'utc': '2023-08-29T10:00:00+00:00', 'local': '2023-08-29T06:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.026,"{'utc': '2023-08-29T09:00:00+00:00', 'local': '2023-08-29T05:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.026,"{'utc': '2023-08-29T08:00:00+00:00', 'local': '2023-08-29T04:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.023,"{'utc': '2023-08-29T07:00:00+00:00', 'local': '2023-08-29T03:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.025,"{'utc': '2023-08-29T06:00:00+00:00', 'local': '2023-08-29T02:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.026,"{'utc': '2023-08-29T05:00:00+00:00', 'local': '2023-08-29T01:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.025,"{'utc': '2023-08-29T04:00:00+00:00', 'local': '2023-08-29T00:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.025,"{'utc': '2023-08-29T03:00:00+00:00', 'local': '2023-08-28T23:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.026,"{'utc': '2023-08-29T02:00:00+00:00', 'local': '2023-08-28T22:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
300,Glen Burnie,o3,0.028,"{'utc': '2023-08-29T01:00:00+00:00', 'local': '2023-08-28T21:00:00-04:00'}",ppm,"{'latitude': 39.1694, 'longitude': -76.6281}",US,,False,,Governmental Organization,reference grade
